date,co2,danger
19950107,359.6,0
19950114,360.2,0
19950121,360.1,0
19950128,360.0,0
19950204,360.6,0
19950211,361.0,0
19950218,360.8,0
19950225,361.3,0
19950304,362.2,1
19950311,361.2,1
19950318,360.9,0
19950325,362.0,1
19950401,363.8,1
19950408,363.4,1
19950415,363.3,1
19950422,362.8,1
19950429,363.5,1
19950506,363.2,1
19950513,364.1,1
19950520,364.1,1
19950527,363.4,1
19950603,363.9,1
19950610,363.4,1
19950617,362.9,1
19950624,362.8,1
19950701,362.5,1
19950708,362.2,1
19950715,361.9,0
19950722,361.5,0
19950729,360.9,0
19950805,360.4,0
19950812,359.2,0
19950819,358.7,0
19950826,359.2,0
19950902,357.3,0
19950909,358.5,0
19950916,358.5,0
19950923,358.2,0
19950930,357.5,0
19951007,357.6,0
19951014,357.6,0
19951021,358.0,0
19951028,358.2,0
19951104,359.1,0
19951111,359.4,0
19951118,359.6,0
19951125,359.8,0
19951202,360.1,0
19951209,360.4,0
19951216,360.5,0
19951223,360.8,0
19951230,361.7,0
19960106,361.8,0
19960113,362.0,1
19960120,362.1,1
19960127,362.2,1
19960203,362.6,1
19960210,363.1,1
19960217,363.0,1
19960224,364.0,1
19960302,363.8,1
19960309,363.6,1
19960316,364.1,1
19960323,364.5,1
19960330,364.3,1
19960406,364.5,1
19960413,364.8,1
19960420,364.4,1
19960427,365.1,1
19960504,364.9,1
19960511,365.3,1
19960518,365.7,1
19960525,365.4,1
19960601,364.8,1
19960608,365.1,1
19960615,365.2,1
19960622,365.0,1
19960629,364.3,1
19960706,364.1,1
19960713,363.7,1
19960720,363.3,1
